"","",LIBELLE,"",IMP,NB
58221,FOOTBALL_SPORTIF,Kylian Mbappé,1500000001287974,140527,3
39792,FOOTBALL_SPORTIF,Neymar,1500000000736610,17076,20
3153,TENNIS_SPORTIF,Novak Djokovic,1272192,13662,1
26337,FOOTBALL_SPORTIF,Edinson Cavani,298892,6277,3
3181,TENNIS_SPORTIF,Jo-Wilfried Tsonga,265453,5309,1
3233,TENNIS_SPORTIF,Andy Murray,20145159,5049,3
21222,FOOTBALL_SPORTIF,André-Pierre Gignac,3000000000060960,4424,9
4470,TENNIS_SPORTIF,Caroline Garcia,1406340,4311,1
32716,BIATHLON_SPORTIF,Martin Fourcade,3000000000080594,3786,34
40841,FOOTBALL_SPORTIF,Florian Thauvin,3000000000060960,3755,6
29652,FOOTBALL_SPORTIF,Thiago Silva,700657,3698,2
25656,FOOTBALL_SPORTIF,Luis Suarez,300833,3471,2
3191,TENNIS_SPORTIF,Gilles Simon,1500000000784087,3469,4
25711,FOOTBALL_SPORTIF,Gareth Bale,295255,3312,2
11320,CYCLISME_SPORTIF,Julian Alaphilippe,3000000000059618,2944,4
10293,CYCLISME_SPORTIF,Thibaut Pinot,1500000000725433,2866,3
16673,FOOTBALL_SPORTIF,Wayne Rooney,278812,2857,1
4000000000003283,BASKET_SPORTIF,LeBron James,1500000000180200,2826,3
1131,BASKET_SPORTIF,Tony Parker,1500000000737814,2789,25
9232,CYCLISME_SPORTIF,Christopher Froome,1500000000732313,2675,6
6000000000013400,ATHLETISME_SPORTIF,Renaud Lavillenie,2500000000053527,2524,4
9663,FOOTBALL_SPORTIF,Michel Platini,438190,2516,1
29427,FOOTBALL_SPORTIF,Pierre-Emerick Aubameyang,301204,2483,4
46961,FOOTBALL_SPORTIF,Marquinhos,719515,2298,6
5087,BASKET_SPORTIF,Rudy Gobert,1500000000728496,2052,13
45950,FOOTBALL_SPORTIF,Mohamed Salah,302750,2019,6
11000000000024907,NATATION_SPORTIF,Florent Manaudou,1406340,1985,1
10768,CYCLISME_SPORTIF,Romain Bardet,1260083,1975,3
7574,FOOTBALL_SPORTIF,Didier Drogba,286085,1932,1
24334,JUDO_SPORTIF,Teddy Riner,3000000000068352,1901,23
2683,TENNIS_SPORTIF,Nicolas Mahut,1429792,1789,2
18675,FOOTBALL_SPORTIF,Daniel Alves,270206,1724,1
3895,FOOTBALL_SPORTIF,David Beckham,300856,1604,5
2927,BASKET_SPORTIF,Nicolas Batum,1500000000177293,1588,22
5000000000013316,ATHLETISME_SPORTIF,Usain Bolt,66148,1564,1
5641,TENNIS_SPORTIF,Pierre-Hugues Herbert,1272550,1533,1
1500000000009373,CYCLISME_SPORTIF,Alberto Contador,1500000000724547,1450,3
10318,FOOTBALL_SPORTIF,Ronaldinho,278377,1300,2
8930,TENNIS_SPORTIF,Ugo Humbert,1272580,1255,1
18006,ATHLETISME_SPORTIF,Kevin Mayer,1408935,1254,2
4426,BASKET_SPORTIF,Evan Fournier,1500000000724754,1227,8
6677,TENNIS_SPORTIF,Naomi Osaka,3000000000060967,1222,5
520,CYCLISME_SPORTIF,Lance Armstrong,1500000000236722,1135,1
4722,BASKET_SPORTIF,Stephen Curry,1032969,1124,2
11500000000003263,BASKET_SPORTIF,Kevin Durant,1500000000737000,1119,10
11522,CYCLISME_SPORTIF,Mathieu Van Der Poel,1218664,1072,2
882,BASKET_SPORTIF,Kobe Bryant,1500000000180200,1070,9
7776,RUGBY_SPORTIF,Antoine Dupont,3000000000080186,1061,7
11490,CYCLISME_SPORTIF,Primoz Roglic,1273827,1031,3
36094,JUDO_SPORTIF,Clarisse Agbegnenou,1406340,972,6
15992,ATHLETISME_SPORTIF,Jimmy Vicaut,1500000000728487,958,2
5731,TENNIS_SPORTIF,Ashleigh Barty,1272875,957,1
1583,BASKET_SPORTIF,Boris Diaw,1500000000735443,914,7
11532,CYCLISME_SPORTIF,Wout Van Aert,1218664,904,1
1000000000009158,CYCLISME_SPORTIF,Alejandro Valverde,1269981,903,2
20761,NATATION_SPORTIF,Michael Phelps,1125511,899,1
41269,FOOTBALL_SPORTIF,Eugénie Le Sommer,715096,897,9
41260,FOOTBALL_SPORTIF,Wendie Renard,304083,895,7
2963,BASKET_SPORTIF,Nando De Colo,20145043,873,4
46659,FOOTBALL_SPORTIF,Paulo Dybala,681754,822,2
1058,SKI_SPORTIF,Lindsey Vonn,444052,810,1
2712,TENNIS_SPORTIF,Paul-Henri Mathieu,20183158,790,1
33061,FOOTBALL_SPORTIF,Younes Belhanda,297281,727,3
1000000000009147,CYCLISME_SPORTIF,Bradley Wiggins,302736,682,3
2164,TENNIS_SPORTIF,Michaël Llodra,265453,674,1
4239,CYCLISME_SPORTIF,Thomas Voeckler,1267662,661,2
45687,FOOTBALL_SPORTIF,Ferland Mendy,0,645,1
33077,FOOTBALL_SPORTIF,Thiago Alcantara,296469,634,2
26350,FOOTBALL_SPORTIF,Daniel Sturridge,303761,625,8
32709,BIATHLON_SPORTIF,Marie Dorin-Habert,442627,619,2
3146,TENNIS_SPORTIF,Edouard Roger-Vasselin,1429792,611,1
8500000000009391,CYCLISME_SPORTIF,Geraint Thomas,1272118,596,1
34728,FOOTBALL_SPORTIF,Jordi Alba,300833,550,5
55869,FOOTBALL_SPORTIF,Lucas Tousart,20145067,534,3
24825,FOOTBALL_SPORTIF,Medhi Benatia,292929,504,1
4238,CYCLISME_SPORTIF,Sylvain Chavanel,302790,496,3
4191,CYCLISME_SPORTIF,Tom Boonen,300629,493,1
6293,TENNIS_SPORTIF,Fiona Ferro,1273197,491,1
7631,BASKET_SPORTIF,Luka Doncic,1276982,485,4
12000000000030514,VTT_SPORTIF,Pauline Ferrand-Prevot,1408935,482,4
8763,CYCLISME_SPORTIF,Fabian Cancellara,1500000000732318,482,2
4104,BASKET_SPORTIF,Russell Westbrook,1500000000537088,476,3
25540,FOOTBALL_SPORTIF,Juan Manuel Mata,295920,470,1
12290,CYCLISME_SPORTIF,David Gaudu,20145103,466,5
3902,FOOTBALL_SPORTIF,Ryan Giggs,303761,461,15
30181,FOOTBALL_SPORTIF,Hulk,305453,456,1
27375,FOOTBALL_SPORTIF,Alexandre Pato,303639,451,10
7223,BASKET_SPORTIF,Frank Ntilikina,1272916,434,2
53623,FOOTBALL_SPORTIF,Paul Bernardoni,1273994,431,1
4000000000003249,BASKET_SPORTIF,Céline Dumerc,1500000000730044,429,12
27678,FOOTBALL_SPORTIF,César Azpilicueta,298851,427,3
7313,BASKET_SPORTIF,Nikola Jokic,1500000000733352,423,1
8,VOILE_SPORTIF,CAMMAS Franck,1315815,396,1
28631,FOOTBALL_SPORTIF,Demba Ba,279365,393,2
2370,BASKET_SPORTIF,Pau Gasol,1500000000715929,383,6
44391,FOOTBALL_SPORTIF,Rafael,301229,375,4
44480,FOOTBALL_SPORTIF,Hiroki Sakai,1273994,373,1
33063,FOOTBALL_SPORTIF,Téji Savanier,1273914,367,2
38317,GOLF_SPORTIF,Hideki Matsuyama,1251943,362,1
35595,BIATHLON_SPORTIF,Anaïs Bescond,1500000000372668,361,6
9265,CYCLISME_SPORTIF,Tony Gallopin,301038,350,1
4171,CYCLISME_SPORTIF,Cadel Evans,1500000000176526,330,2
7000000000003469,BASKET_SPORTIF,Adrien Moerman,705875,314,1
41274,FOOTBALL_SPORTIF,Camille Abily,303145,313,5
41356,FOOTBALL_SPORTIF,Gaëtane Thiney,304960,300,13
1147,SKI_SPORTIF,Aksel Lund Svindal,438310,296,1
2962,BASKET_SPORTIF,Rodrigue Beaubois,291168,293,1
16591,FOOTBALL_SPORTIF,Gaël Clichy,305935,290,1
6064,BASKET_SPORTIF,Timothé Luwawu-Cabarrot,1274882,288,1
11000000000028457,NATATION_SPORTIF,Marie Wattel,1408935,287,1
11617,CYCLISME_SPORTIF,Guillaume Martin,1272210,285,1
2850,BASKET_SPORTIF,Antoine Diot,718212,284,2
3500000000003245,BASKET_SPORTIF,Ian Mahinmi,291168,280,1
2874,BASKET_SPORTIF,Thomas Heurtel,1275737,276,3
39895,FOOTBALL_SPORTIF,Oscar,301944,273,5
4000000000003290,BASKET_SPORTIF,Carmelo Anthony,1500000000735465,273,6
10280,CYCLISME_SPORTIF,Elia Viviani,1500000000734542,271,3
6410,BASKET_SPORTIF,Guerschon Yabusele,1273371,271,1
11000000000032970,NATATION_SPORTIF,Maxime Grousset,1403818,269,1
7000000000024822,HANDBALL_SPORTIF,Luc Abalo,587221,263,1
32741,FOOTBALL_SPORTIF,Abdelaziz Barrada,301105,259,3
8500000000003303,BASKET_SPORTIF,Sandrine Gruda,1500000000722277,258,8
5872,BASKET_SPORTIF,Damian Lillard,20144780,258,4
7500000000024378,COMBINE_NORDIQUE_SPORTIF,Jason Lamy-Chappuis,442559,252,3
9858,CANOE-KAYAK_SPORTIF,Tony Estanguet,2500000000054827,252,137
25671,FOOTBALL_SPORTIF,Adel Taarabt,297281,241,1
7000000000009390,CYCLISME_SPORTIF,Greg Van Avermaet,1155499,237,2
2456,BASKET_SPORTIF,Mickael Gelabale,1500000000177309,236,1
11500000000005202,RUGBY_SPORTIF,Sonny Bill Williams,65913,229,1
35677,GYMNASTIQUE_SPORTIF,Samir Ait-Said,1268409,226,3
4000000000003395,BASKET_SPORTIF,Marc Gasol,1500000000178985,218,2
2883,BASKET_SPORTIF,Ali Traoré,714776,215,2
41355,FOOTBALL_SPORTIF,Marie-Laure Delie,301021,211,5
31252,JUDO_SPORTIF,Emilie Andeol,813173,210,1
100,BASKET_SPORTIF,Florent Piétrus,303446,209,4
1500000000003232,BASKET_SPORTIF,Ronny Turiaf,1500000000192001,201,3
3465,TENNIS_SPORTIF,Pablo Andujar,1272580,200,1
1000000000002904,BASKET_SPORTIF,Emanuel Ginobili,1500000000180204,195,3
7000000000003443,BASKET_SPORTIF,Chris Paul,1500000000192001,195,2
6692,ESCRIME_SPORTIF,Laura Flessel Colovic,1500000000175908,188,8
32730,SKI_DE_FOND_SPORTIF,Maurice Manificat,442739,186,1
944,BOXE_SPORTIF,Edward H. Sanders,440660,186,2
22966,FOOTBALL_SPORTIF,Papiss Demba Cissé,296973,184,3
11140,CYCLISME_SPORTIF,Alexis Vuillermoz,711235,177,2
5184,BASKET_SPORTIF,Paul George,714718,176,1
41352,FOOTBALL_SPORTIF,Elise Bussaglia,304241,173,6
5169,BASKET_SPORTIF,DeMarcus Cousins,693185,170,1
37798,PENTATHLON_SPORTIF,Elodie Clouvel,822410,169,1
32571,FOOTBALL_SPORTIF,Adrien Regattin,283773,167,1
2827,BASKET_SPORTIF,Andrew Albicy,1276888,167,2
245,NATATION_SPORTIF,Roxana Maracineanu,1315959,165,4
3899,FOOTBALL_SPORTIF,Paul Scholes,298334,165,1
9181,CYCLISME_SPORTIF,Dan Martin,1267428,164,1
11014,CYCLISME_SPORTIF,Annemiek Van Vleuten,1272964,162,2
4184,BASKET_SPORTIF,Blake Griffin,256429,160,2
22071,PATINAGE_ARTISTIQUE_SPORTIF,Brian Joubert,500000000003860,160,2
7500000000025096,SNOWBOARD_SPORTIF,Pierre Vaultier,427436,155,1
12000000000003280,BASKET_SPORTIF,Isabelle Yacoubou,717619,153,4
6014,BASKET_SPORTIF,Draymond Green,1270865,153,2
12500000000030988,VOILE_SPORTIF,Charline PICON,2500000000054264,151,15
11864,CYCLISME_SPORTIF,Benjamin Thomas,1277040,143,3
41261,FOOTBALL_SPORTIF,Laura Georges,707708,141,5
7809,BASKET_SPORTIF,Marine Johannès,1276095,140,3
10189,CYCLISME_SPORTIF,Audrey Cordon-Ragot,1500000000732215,140,1
41270,FOOTBALL_SPORTIF,Louisa Necib-Cadamuro,302303,139,6
43378,FOOTBALL_SPORTIF,André Poko,248195,138,1
10969,ATHLETISME_SPORTIF,Dimitri Bascou,1422305,137,1
26059,FOOTBALL_SPORTIF,Giovani Dos Santos,303649,135,4
2905,FOOTBALL_SPORTIF,Sylvain Ripoll,1271871,135,1
194,SKI_SPORTIF,Bode Miller,1500000000371054,133,2
3117,CYCLISME_SPORTIF,Thor Hushovd,298969,126,1
354,RUGBY_SPORTIF,Stéphane Delpuech,1273397,122,1
30895,PATINAGE_ARTISTIQUE_SPORTIF,Florent Amodio,500000000003860,119,2
11628,CYCLISME_SPORTIF,Rémi Cavagna,3000000000061071,117,7
9000000000003343,BASKET_SPORTIF,LaMarcus Aldridge,691248,117,3
8665,CYCLISME_SPORTIF,Jeannie Longo-Ciprelli,294951,113,1
7718,BASKET_SPORTIF,Devin Booker,20144942,111,2
30041,HANDBALL_SPORTIF,Cléopatre Darleux,1295100,109,1
43093,FOOTBALL_SPORTIF,Moussa Konaté,303490,106,12
4453,CYCLISME_SPORTIF,Samuel Sanchez,299746,106,1
19094,BIATHLON_SPORTIF,Ole Einar Björndalen,439595,105,3
23845,FOOTBALL_SPORTIF,Chu-young Park,305312,103,4
4500000000009422,CYCLISME_SPORTIF,Simon Gerrans,709181,103,1
33917,FOOTBALL_SPORTIF,Iker Muniain,299983,103,3
41669,FOOTBALL_SPORTIF,Hope Solo,716340,102,5
8191,ATHLETISME_SPORTIF,Michel Jazy,1446034,100,1
4000000000009438,CYCLISME_SPORTIF,Roman Kreuziger,302159,100,1
41264,FOOTBALL_SPORTIF,Sonia Bompastor,304960,99,11
41278,FOOTBALL_SPORTIF,Elodie Thomis,302523,99,4
37203,AVIRON_SPORTIF,Matthieu Androdias,1406340,94,1
2897,BASKET_SPORTIF,Yannick Bokolo,708261,88,2
4120,BASKET_SPORTIF,Endy Miyem,1500000000721563,86,1
11500000000003310,BASKET_SPORTIF,Milos Teodosic,1500000000728800,82,2
41689,FOOTBALL_SPORTIF,Abby Wambach,303343,81,5
12500000000031093,VOILE_SPORTIF,Camille LECOINTRE,1500000000652118,78,6
7500000000024247,SKI_DE_FOND_SPORTIF,Petter Northug,440688,78,1
33358,SKI_DE_FOND_SPORTIF,Dario Cologna,1500000000372466,75,2
7000000000009401,CYCLISME_SPORTIF,Matthew Goss,293847,75,1
32277,PATINAGE_DE_VITESSE_SPORTIF,Alexis Contin,873936,74,2
9000000000003384,BASKET_SPORTIF,Ricky Rubio,1271389,74,1
1043,BASKET_SPORTIF,Vince Carter,1500000000611684,73,1
34673,FOOTBALL_SPORTIF,Sandro,300039,72,1
22979,PATINAGE_ARTISTIQUE_SPORTIF,Evgeni Plushenko,1500000000370599,71,5
6542,RUGBY_SPORTIF,Michael Hooper,20181994,68,2
6500000000003397,BASKET_SPORTIF,Rudy Fernandez,1271418,68,1
33371,FOOTBALL_SPORTIF,Yassine Jebbour,297281,67,1
15711,FOOTBALL_SPORTIF,Bob Wilson,1243292,67,1
61574,FOOTBALL_SPORTIF,Clément Michelin,1273994,67,1
5875,BASKET_SPORTIF,Bradley Beal,1270865,66,2
1222,BASKET_SPORTIF,Edwige Lawson,1500000000179226,66,1
22894,FOOTBALL_SPORTIF,Micah Richards,295845,66,1
7500000000025718,PATINAGE_DE_VITESSE_SPORTIF,Sven Kramer,1500000000372781,66,1
39890,FOOTBALL_SPORTIF,Leandro Damiao,304497,66,10
41354,FOOTBALL_SPORTIF,Sandrine Soubeyrand,304960,65,6
20146,FOOTBALL_SPORTIF,Houssine Kharja,297281,64,2
262,JUDO_SPORTIF,David Douillet,1500000000813882,64,4
4358,TENNIS_SPORTIF,Saisai Zheng,1272894,63,1
7643,FOOTBALL_SPORTIF,Craig Bellamy,301796,62,8
32711,BIATHLON_SPORTIF,Jean-Guillaume Beatrix,442627,62,1
4000000000009433,CYCLISME_SPORTIF,Nicolas Roche,1267428,61,1
5559,BASKET_SPORTIF,Isaiah Thomas,693331,59,1
7500000000025184,SHORT_TRACK_SPORTIF,Thibault Fauconnet,10089500,58,1
1553,BASKET_SPORTIF,Yakhouba Diawara,1500000000166492,57,1
164,CYCLISME_SPORTIF,David Millar,290998,57,1
26261,FOOTBALL_SPORTIF,Scott Sinclair,302022,54,3
47802,FOOTBALL_SPORTIF,Manuel Lanzini,710189,53,2
7139,BASKET_SPORTIF,Zach Lavine,1271587,52,2
32853,BIATHLON_SPORTIF,Anastazia Kuzmina,439833,52,1
6179,BASKET_SPORTIF,Valériane Vukosavljevic,715027,51,1
4000000000003250,BASKET_SPORTIF,Emmeline Ndongue,1500000000179496,51,2
41599,FOOTBALL_SPORTIF,Oribe Peralta,305453,49,1
17593,CYCLISME_SUR_PISTE_SPORTIF,Severino Angella,303111,48,1
35352,FOOTBALL_SPORTIF,Nicolas Lodeiro,301200,48,2
38199,FOOTBALL_SPORTIF,Gaston Ramirez,301200,47,4
5411,TENNIS_SPORTIF,Viktorija Golubic,1273176,45,1
566,BASKET_SPORTIF,Andrei Kirilenko,1500000000178896,44,1
37138,CANOE-KAYAK_SPORTIF,Boris Neveu,1424900,43,2
242,NATATION_SPORTIF,Pieter Van Den Hoogenband,1500000000370220,43,1
439,FORMULE_1_SPORTIF,Emanuele Pirro,1272170,42,2
20000000000000000000013074,FOOTBALL_SPORTIF,Philippe Bergeroo,1500000000727001,42,3
4063,BASKET_SPORTIF,DeAndre Jordan,1500000000733352,42,1
7238,BASKET_SPORTIF,Olivia Epoupa,1500000000734504,41,5
32718,BIATHLON_SPORTIF,Vincent Jay,3000000000080594,41,2
40460,FOOTBALL_SPORTIF,Norberto Murara Neto,300679,40,2
12500000000031079,VOILE_SPORTIF,Marie RIOU,715189,40,2
5995,BASKET_SPORTIF,Khris Middleton,1272101,39,1
12500000000051688,VOILE_SPORTIF,Billy BESSON,715189,38,3
627,BASKET_SPORTIF,Antoine Rigaudeau,574901,37,1
66,SKI_SPORTIF,Didier Défago,439718,36,1
9857,CANOE-KAYAK_SPORTIF,Wilfrid Forgues,1235096,35,1
4772,BASKET_SPORTIF,Jrue Holiday,20145183,35,2
24956,GYMNASTIQUE_SPORTIF,Thomas Bouhail,255488,35,1
7000000000024259,ESCRIME_SPORTIF,Astrid Guyart,1223895,34,1
35667,FOOTBALL_SPORTIF,Ibrahima Baldé,279213,32,1
2681,BASKET_SPORTIF,Luis Scola,1500000000180204,32,2
47575,FOOTBALL_SPORTIF,Sabrina Delannoy,712215,32,2
35492,FOOTBALL_SPORTIF,Zakarya Bergdich,301105,31,3
9095,CYCLISME_SPORTIF,Simon Clarke,709181,30,1
22489,FOOTBALL_SPORTIF,Cafu,54935,29,1
31362,ESCRIME_SPORTIF,Brice Guyart,1171958,28,3
1500000000023829,SAUT_A_SKIS_SPORTIF,Thomas Morgenstern,434563,27,1
41263,FOOTBALL_SPORTIF,Corine Petit,301451,27,2
5958,BASKET_SPORTIF,Yannis Morin,708261,27,1
28768,FOOTBALL_SPORTIF,Mohamed Aboutrika,302750,25,3
949,BASKET_SPORTIF,Scottie Pippen,1500000000374356,25,1
175,BASKET_SPORTIF,Laurent Sciarra,2500000000055988,24,2
1331,BASKET_SPORTIF,Sarunas Jasikevicius,1500000000178007,23,1
6500000000023842,JUDO_SPORTIF,Matthieu Bataille,1232829,22,1
7500000000025171,SNOWBOARD_SPORTIF,Sophie Rodriguez,440690,21,1
13991,TAEKWONDO_SPORTIF,Pascal Gentil,1171958,21,1
245000000000000000000023402,FOOTBALL_SPORTIF,Magaye Gueye,296973,20,1
8500000000003248,BASKET_SPORTIF,Patrick Mills,1272005,20,1
136,BASKET_SPORTIF,Frédéric Weis,1500000000611684,19,1
35975,FOOTBALL_SPORTIF,Zakaria Labyad,300833,17,1
12500000000059853,TRIATHLON_SPORTIF,Dorian Coninx,20182971,17,1
9379,CYCLISME_SPORTIF,Jason Kenny,717933,16,1
4737,BASKET_SPORTIF,Jan Vesely,1273650,16,1
29558,FOOTBALL_SPORTIF,Yassine El-Kharroubi,292929,15,1
12500000000051675,VOILE_SPORTIF,Thomas GOYARD,1274948,14,4
6500000000023924,VOILE_SPORTIF,BONTEMPS Julien,1500000000177103,14,2
35714,FOOTBALL_SPORTIF,Alexander N'Doumbou,273176,14,1
25427,ESCRIME_SPORTIF,Olga Kharlan,1410511,14,1
43187,FOOTBALL_SPORTIF,Rômulo,304497,13,3
12500000000049713,VOILE_SPORTIF,Pierre LE COQ,717028,13,2
33201,FOOTBALL_SPORTIF,Chris Wood,301876,13,3
8500000000003359,BASKET_SPORTIF,Diana Taurasi,1264872,13,1
20929,PATINAGE_ARTISTIQUE_SPORTIF,Katarina Witt,1500000000370847,12,2
7500000000025180,SHORT_TRACK_SPORTIF,Véronique Pierron,441622,11,2
13500000000084301,TRIATHLON_SPORTIF,Léo Bergère,1403818,10,1
4728,BASKET_SPORTIF,Aron Baynes,1274449,10,1
10530,CYCLISME_SPORTIF,Elizabeth Armitstead-Deignan,1500000000729232,9,2
6500000000023827,CYCLISME_SUR_PISTE_SPORTIF,François Pervis,621669,9,1
11500000000003301,BASKET_SPORTIF,Jianlian Yi,1500000000735070,9,1
4122,BASKET_SPORTIF,Florence Lepron,1500000000178217,9,2
9861,TENNIS_DE_TABLE_SPORTIF,Jean-Philippe Gatien,1171958,8,1
1121,SKI_SPORTIF,Daniela Merighetti,438571,8,1
5160,BASKET_SPORTIF,Greivis Vasquez,1500000000728474,7,2
4525,BASKET_SPORTIF,Sarah Michel,1500000000728493,7,2
1229,BASKET_SPORTIF,Yannick Souvre,713092,7,1
4580,BASKET_SPORTIF,Amel Bouderra,713786,7,1
181,SKI_SPORTIF,Hermann Maier,89312,7,1
179216,RUGBY_A_7_SPORTIF,Julien Candelon,713599,6,1
41699,FOOTBALL_SPORTIF,Homare Sawa,304010,5,1
8446,NATATION_SPORTIF,Richard Pound,1500000000726128,5,2
12500000000049728,VOILE_SPORTIF,Julien D'ORTOLI,635496,4,1
12500000000061676,VOILE_SPORTIF,Hélène DEFRANCE,1500000000652118,4,2
5807,BASKET_SPORTIF,Miranda Ayim,1271466,3,1
38244,FOOTBALL_SPORTIF,Renan Bressan,301944,2,3
12500000000037663,VOILE_SPORTIF,Elliot WILLIS,641304,2,1
42071,FOOTBALL_SPORTIF,Yuki Otsu,301160,2,3
8339,EQUITATION_SPORTIF,Pierre Durand,537109,1,1
4847,BASKET_SPORTIF,Romane Bernies,1500000000719452,1,1
8479,BASKET_SPORTIF,Alexia Chartereau,20145041,-82,1
9746,BASKET_SPORTIF,Marine Fauthoux,1404441,-93,1
14208,CYCLISME_SPORTIF,Anna Kiesenhofer,20145180,-98,4
